gene_id	protein_id	ugo_protein_id	species	orthogroup	species_present_11	candidate_function	benchmark_module	candidate_tier	ugo_score	validation_priority_score	validation_priority_class	biological_discovery_case	suggested_validation_system	suggested_assay
LOC109134329	Beta_vulgaris|gene=LOC109134329|len=362|source=XP_019103449.1	UGOseq_000023315	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109134372	Beta_vulgaris|gene=LOC109134372|len=144|source=XP_019103536.1	UGOseq_000023338	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC109134555	Beta_vulgaris|gene=LOC109134555|len=1357|source=XP_019103872.1	UGOseq_000023438	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC109134559	Beta_vulgaris|gene=LOC109134559|len=252|source=XP_019103878.1	UGOseq_000023442	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC109134587	Beta_vulgaris|gene=LOC109134587|len=159|source=XP_019103918.1	UGOseq_000023462	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC109134908	Beta_vulgaris|gene=LOC109134908|len=309|source=XP_019104862.1	UGOseq_000023623	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109134918	Beta_vulgaris|gene=LOC109134918|len=172|source=XP_019104877.1	UGOseq_000023631	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109135200	Beta_vulgaris|gene=LOC109135200|len=322|source=XP_019105455.1	UGOseq_000023729	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109135251	Beta_vulgaris|gene=LOC109135251|len=151|source=XP_019105537.1	UGOseq_000023773	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109135448	Beta_vulgaris|gene=LOC109135448|len=547|source=XP_019106100.1	UGOseq_000023841	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC109135466	Beta_vulgaris|gene=LOC109135466|len=208|source=XP_019106124.1	UGOseq_000023858	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109135486	Beta_vulgaris|gene=LOC109135486|len=318|source=XP_019106145.1	UGOseq_000023874	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109135491	Beta_vulgaris|gene=LOC109135491|len=503|source=XP_019106150.1	UGOseq_000023878	Beta_vulgaris	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC109136340	Beta_vulgaris|gene=LOC109136340|len=323|source=XP_019107887.1	UGOseq_000024224	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC109136424	Beta_vulgaris|gene=LOC109136424|len=239|source=XP_019108065.1	UGOseq_000024267	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC109136571	Beta_vulgaris|gene=LOC109136571|len=167|source=XP_019108348.1	UGOseq_000024346	Beta_vulgaris	OG0000139	1	MYB-like transcriptional regulator	Developmental_TF	Tier_A_core_supported_but_OG_split	1.0	0.173	Review before validation		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103827703	Brassica_rapa|gene=LOC103827703|len=399|source=XP_033128287.1	UGOseq_000024801	Brassica_rapa	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103827709	Brassica_rapa|gene=LOC103827709|len=580|source=XP_009101493.1	UGOseq_000024805	Brassica_rapa	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103827867	Brassica_rapa|gene=LOC103827867|len=271|source=XP_009101672.1	UGOseq_000024939	Brassica_rapa	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103831344	Brassica_rapa|gene=LOC103831344|len=270|source=XP_009105493.1	UGOseq_000027674	Brassica_rapa	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103836317	Brassica_rapa|gene=LOC103836317|len=278|source=XP_009110809.1	UGOseq_000031547	Brassica_rapa	OG0003725	10	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	1.0	0.867	Top validation-ready candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103836713	Brassica_rapa|gene=LOC103836713|len=807|source=XP_009111255.1	UGOseq_000031895	Brassica_rapa	OG0004958	11	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
LOC103839572	Brassica_rapa|gene=LOC103839572|len=509|source=XP_009114323.2	UGOseq_000034137	Brassica_rapa	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103839575	Brassica_rapa|gene=LOC103839575|len=507|source=XP_033136834.1	UGOseq_000034138	Brassica_rapa	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103839580	Brassica_rapa|gene=LOC103839580|len=563|source=XP_009114329.1	UGOseq_000034142	Brassica_rapa	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103842932	Brassica_rapa|gene=LOC103842932|len=357|source=XP_009117866.1	UGOseq_000036726	Brassica_rapa	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
LOC103846395	Brassica_rapa|gene=LOC103846395|len=357|source=XP_009121556.2	UGOseq_000039460	Brassica_rapa	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
LOC103850060	Brassica_rapa|gene=LOC103850060|len=357|source=XP_009125011.1	UGOseq_000041876	Brassica_rapa	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103850998	Brassica_rapa|gene=LOC103850998|len=363|source=XP_018512493.2	UGOseq_000042690	Brassica_rapa	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
LOC103855213	Brassica_rapa|gene=LOC103855213|len=325|source=XP_009130419.2	UGOseq_000045916	Brassica_rapa	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103855832	Brassica_rapa|gene=LOC103855832|len=590|source=XP_009131125.3	UGOseq_000046438	Brassica_rapa	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103856155	Brassica_rapa|gene=LOC103856155|len=363|source=XP_009131489.2	UGOseq_000046725	Brassica_rapa	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
LOC103858948	Brassica_rapa|gene=LOC103858948|len=357|source=XP_009134656.1	UGOseq_000049102	Brassica_rapa	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
LOC103859324	Brassica_rapa|gene=LOC103859324|len=363|source=XP_009135081.1	UGOseq_000049429	Brassica_rapa	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
LOC103860100	Brassica_rapa|gene=LOC103860100|len=796|source=XP_033142129.1	UGOseq_000050076	Brassica_rapa	OG0004958	11	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
LOC103863970	Brassica_rapa|gene=LOC103863970|len=445|source=XP_009139986.1	UGOseq_000053003	Brassica_rapa	OG0006937	11	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	1.0	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
LOC103864229	Brassica_rapa|gene=LOC103864229|len=459|source=XP_033145950.1	UGOseq_000053187	Brassica_rapa	OG0006937	11	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	1.0	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
LOC103870583	Brassica_rapa|gene=LOC103870583|len=367|source=XP_009146975.2	UGOseq_000058132	Brassica_rapa	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
LOC103870925	Brassica_rapa|gene=LOC103870925|len=357|source=XP_009147367.1	UGOseq_000058430	Brassica_rapa	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
LOC103871744	Brassica_rapa|gene=LOC103871744|len=274|source=XP_009148271.1	UGOseq_000059136	Brassica_rapa	OG0003725	10	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	1.0	0.867	Top validation-ready candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC103874758	Brassica_rapa|gene=LOC103874758|len=605|source=XP_009151447.1	UGOseq_000061428	Brassica_rapa	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
NAP	Brassica_rapa|gene=NAP|len=271|source=XP_009105596.3	UGOseq_000065804	Brassica_rapa	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
DCAR_002079	DCAR_002079	UGOseq_000067627	Daucus_carota	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
DCAR_005363	DCAR_005363	UGOseq_000070911	Daucus_carota	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
DCAR_005631	DCAR_005631	UGOseq_000071179	Daucus_carota	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
DCAR_006054	DCAR_006054	UGOseq_000071602	Daucus_carota	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
DCAR_008270	DCAR_008270	UGOseq_000073818	Daucus_carota	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
DCAR_010170	DCAR_010170	UGOseq_000075718	Daucus_carota	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
DCAR_011025	DCAR_011025	UGOseq_000076573	Daucus_carota	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
DCAR_012483	DCAR_012483	UGOseq_000078029	Daucus_carota	OG0004958	11	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
DCAR_015040	DCAR_015040	UGOseq_000080586	Daucus_carota	OG0006937	11	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	1.0	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
DCAR_018422	DCAR_018422	UGOseq_000083968	Daucus_carota	OG0004958	11	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
DCAR_019319	DCAR_019319	UGOseq_000084865	Daucus_carota	OG0003725	10	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	1.0	0.867	Top validation-ready candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
DCAR_019490	DCAR_019490	UGOseq_000085036	Daucus_carota	OG0004958	11	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
DCAR_021424	DCAR_021424	UGOseq_000086970	Daucus_carota	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
DCAR_024963	DCAR_024963	UGOseq_000090509	Daucus_carota	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
DCAR_031001	DCAR_031001	UGOseq_000096547	Daucus_carota	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC120249930	XP_039114574.1	UGOseq_000098684	Dioscorea_rotundata	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC120250226	XP_039114955.1	UGOseq_000098950	Dioscorea_rotundata	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC120251177	XP_039115649.1	UGOseq_000099498	Dioscorea_rotundata	OG0006937	11	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	1.0	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
LOC120251417	XP_039115873.1	UGOseq_000099687	Dioscorea_rotundata	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC120251545	XP_039116034.1	UGOseq_000099797	Dioscorea_rotundata	OG0006937	11	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	1.0	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
LOC120253765	XP_039117946.1	UGOseq_000101113	Dioscorea_rotundata	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC120254039	XP_039118126.1	UGOseq_000101251	Dioscorea_rotundata	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC120255553	XP_039119299.1	UGOseq_000102168	Dioscorea_rotundata	OG0003725	10	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	1.0	0.867	Top validation-ready candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC120255675	XP_039119380.1	UGOseq_000102236	Dioscorea_rotundata	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC120255830	XP_039119537.1	UGOseq_000102344	Dioscorea_rotundata	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC120257444	XP_039120846.1	UGOseq_000103324	Dioscorea_rotundata	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC120257830	XP_039121048.1	UGOseq_000103477	Dioscorea_rotundata	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC120259159	XP_039122639.1	UGOseq_000104659	Dioscorea_rotundata	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC120261847	XP_039125785.1	UGOseq_000106890	Dioscorea_rotundata	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC120262030	XP_039126001.1	UGOseq_000107051	Dioscorea_rotundata	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC120262160	XP_039126166.1	UGOseq_000107169	Dioscorea_rotundata	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC120263643	XP_039127543.1	UGOseq_000108200	Dioscorea_rotundata	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC120264812	XP_039128595.1	UGOseq_000109014	Dioscorea_rotundata	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
LOC120265175	XP_039128997.1	UGOseq_000109307	Dioscorea_rotundata	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
LOC120265655	XP_039129541.1	UGOseq_000109717	Dioscorea_rotundata	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
