ugo_protein_id	search_database_header	species	gene_id	protein_id	raw_input_header	orthogroup	species_present_11	candidate_function	benchmark_module	candidate_tier	ugo_score	validation_priority_score	validation_priority_class	biological_discovery_case	suggested_validation_system	suggested_assay
UGOseq_000042690	UGOseq_000042690|species=Brassica_rapa|gene=LOC103850998|protein=Brassica_rapa|gene=LOC103850998|len=363|source=XP_018512493.2|orthogroup=OG0000863	Brassica_rapa	LOC103850998	Brassica_rapa|gene=LOC103850998|len=363|source=XP_018512493.2	Brassica_rapa|gene=LOC103850998|len=363|source=XP_018512493.2 UDP-arabinopyranose mutase 2 [Brassica rapa]	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
UGOseq_000045916	UGOseq_000045916|species=Brassica_rapa|gene=LOC103855213|protein=Brassica_rapa|gene=LOC103855213|len=325|source=XP_009130419.2|orthogroup=OG0000273	Brassica_rapa	LOC103855213	Brassica_rapa|gene=LOC103855213|len=325|source=XP_009130419.2	Brassica_rapa|gene=LOC103855213|len=325|source=XP_009130419.2 NAC transcription factor 47 [Brassica rapa]	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000046438	UGOseq_000046438|species=Brassica_rapa|gene=LOC103855832|protein=Brassica_rapa|gene=LOC103855832|len=590|source=XP_009131125.3|orthogroup=OG0000767	Brassica_rapa	LOC103855832	Brassica_rapa|gene=LOC103855832|len=590|source=XP_009131125.3	Brassica_rapa|gene=LOC103855832|len=590|source=XP_009131125.3 transcription factor MYC4 [Brassica rapa]	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000046725	UGOseq_000046725|species=Brassica_rapa|gene=LOC103856155|protein=Brassica_rapa|gene=LOC103856155|len=363|source=XP_009131489.2|orthogroup=OG0000863	Brassica_rapa	LOC103856155	Brassica_rapa|gene=LOC103856155|len=363|source=XP_009131489.2	Brassica_rapa|gene=LOC103856155|len=363|source=XP_009131489.2 UDP-arabinopyranose mutase 2 [Brassica rapa]	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
UGOseq_000049102	UGOseq_000049102|species=Brassica_rapa|gene=LOC103858948|protein=Brassica_rapa|gene=LOC103858948|len=357|source=XP_009134656.1|orthogroup=OG0000863	Brassica_rapa	LOC103858948	Brassica_rapa|gene=LOC103858948|len=357|source=XP_009134656.1	Brassica_rapa|gene=LOC103858948|len=357|source=XP_009134656.1 UDP-arabinopyranose mutase 1 [Brassica rapa]	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
UGOseq_000049429	UGOseq_000049429|species=Brassica_rapa|gene=LOC103859324|protein=Brassica_rapa|gene=LOC103859324|len=363|source=XP_009135081.1|orthogroup=OG0000863	Brassica_rapa	LOC103859324	Brassica_rapa|gene=LOC103859324|len=363|source=XP_009135081.1	Brassica_rapa|gene=LOC103859324|len=363|source=XP_009135081.1 UDP-arabinopyranose mutase 3 [Brassica rapa]	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
UGOseq_000050076	UGOseq_000050076|species=Brassica_rapa|gene=LOC103860100|protein=Brassica_rapa|gene=LOC103860100|len=796|source=XP_033142129.1|orthogroup=OG0004958	Brassica_rapa	LOC103860100	Brassica_rapa|gene=LOC103860100|len=796|source=XP_033142129.1	Brassica_rapa|gene=LOC103860100|len=796|source=XP_033142129.1 ent-copalyl diphosphate synthase, chloroplastic [Brassica rapa]	OG0004958	11	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
UGOseq_000053003	UGOseq_000053003|species=Brassica_rapa|gene=LOC103863970|protein=Brassica_rapa|gene=LOC103863970|len=445|source=XP_009139986.1|orthogroup=OG0006937	Brassica_rapa	LOC103863970	Brassica_rapa|gene=LOC103863970|len=445|source=XP_009139986.1	Brassica_rapa|gene=LOC103863970|len=445|source=XP_009139986.1 protein farnesyltransferase subunit beta [Brassica rapa]	OG0006937	11	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	1.0	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
UGOseq_000053187	UGOseq_000053187|species=Brassica_rapa|gene=LOC103864229|protein=Brassica_rapa|gene=LOC103864229|len=459|source=XP_033145950.1|orthogroup=OG0006937	Brassica_rapa	LOC103864229	Brassica_rapa|gene=LOC103864229|len=459|source=XP_033145950.1	Brassica_rapa|gene=LOC103864229|len=459|source=XP_033145950.1 protein farnesyltransferase subunit beta-like isoform X1 [Brassica rapa]	OG0006937	11	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	1.0	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
UGOseq_000058132	UGOseq_000058132|species=Brassica_rapa|gene=LOC103870583|protein=Brassica_rapa|gene=LOC103870583|len=367|source=XP_009146975.2|orthogroup=OG0000863	Brassica_rapa	LOC103870583	Brassica_rapa|gene=LOC103870583|len=367|source=XP_009146975.2	Brassica_rapa|gene=LOC103870583|len=367|source=XP_009146975.2 UDP-arabinopyranose mutase 3 [Brassica rapa]	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
UGOseq_000058430	UGOseq_000058430|species=Brassica_rapa|gene=LOC103870925|protein=Brassica_rapa|gene=LOC103870925|len=357|source=XP_009147367.1|orthogroup=OG0000863	Brassica_rapa	LOC103870925	Brassica_rapa|gene=LOC103870925|len=357|source=XP_009147367.1	Brassica_rapa|gene=LOC103870925|len=357|source=XP_009147367.1 UDP-arabinopyranose mutase 1 [Brassica rapa]	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
UGOseq_000059136	UGOseq_000059136|species=Brassica_rapa|gene=LOC103871744|protein=Brassica_rapa|gene=LOC103871744|len=274|source=XP_009148271.1|orthogroup=OG0003725	Brassica_rapa	LOC103871744	Brassica_rapa|gene=LOC103871744|len=274|source=XP_009148271.1	Brassica_rapa|gene=LOC103871744|len=274|source=XP_009148271.1 double-stranded RNA-binding protein 1 isoform X1 [Brassica rapa]	OG0003725	10	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	1.0	0.867	Top validation-ready candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000061428	UGOseq_000061428|species=Brassica_rapa|gene=LOC103874758|protein=Brassica_rapa|gene=LOC103874758|len=605|source=XP_009151447.1|orthogroup=OG0000767	Brassica_rapa	LOC103874758	Brassica_rapa|gene=LOC103874758|len=605|source=XP_009151447.1	Brassica_rapa|gene=LOC103874758|len=605|source=XP_009151447.1 transcription factor MYC2 [Brassica rapa]	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000065804	UGOseq_000065804|species=Brassica_rapa|gene=NAP|protein=Brassica_rapa|gene=NAP|len=271|source=XP_009105596.3|orthogroup=OG0000273	Brassica_rapa	NAP	Brassica_rapa|gene=NAP|len=271|source=XP_009105596.3	Brassica_rapa|gene=NAP|len=271|source=XP_009105596.3 NAC transcription factor 29 isoform X2 [Brassica rapa]	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000067627	UGOseq_000067627|species=Daucus_carota|gene=DCAR_002079|protein=DCAR_002079|orthogroup=OG0000273	Daucus_carota	DCAR_002079	DCAR_002079	DCAR_002079 species=Daucus_carota selected_protein=KZN09423 length=423	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000070911	UGOseq_000070911|species=Daucus_carota|gene=DCAR_005363|protein=DCAR_005363|orthogroup=OG0000273	Daucus_carota	DCAR_005363	DCAR_005363	DCAR_005363 species=Daucus_carota selected_protein=KZN04526 length=413	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000071179	UGOseq_000071179|species=Daucus_carota|gene=DCAR_005631|protein=DCAR_005631|orthogroup=OG0000767	Daucus_carota	DCAR_005631	DCAR_005631	DCAR_005631 species=Daucus_carota selected_protein=KZN04794 length=588	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000071602	UGOseq_000071602|species=Daucus_carota|gene=DCAR_006054|protein=DCAR_006054|orthogroup=OG0000273	Daucus_carota	DCAR_006054	DCAR_006054	DCAR_006054 species=Daucus_carota selected_protein=KZN05217 length=297	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000073818	UGOseq_000073818|species=Daucus_carota|gene=DCAR_008270|protein=DCAR_008270|orthogroup=OG0000767	Daucus_carota	DCAR_008270	DCAR_008270	DCAR_008270 species=Daucus_carota selected_protein=KZN07433 length=624	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000075718	UGOseq_000075718|species=Daucus_carota|gene=DCAR_010170|protein=DCAR_010170|orthogroup=OG0000863	Daucus_carota	DCAR_010170	DCAR_010170	DCAR_010170 species=Daucus_carota selected_protein=KZN01416 length=364	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
UGOseq_000076573	UGOseq_000076573|species=Daucus_carota|gene=DCAR_011025|protein=DCAR_011025|orthogroup=OG0000863	Daucus_carota	DCAR_011025	DCAR_011025	DCAR_011025 species=Daucus_carota selected_protein=KZN02271 length=330	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
UGOseq_000078029	UGOseq_000078029|species=Daucus_carota|gene=DCAR_012483|protein=DCAR_012483|orthogroup=OG0004958	Daucus_carota	DCAR_012483	DCAR_012483	DCAR_012483 species=Daucus_carota selected_protein=KZN03727 length=761	OG0004958	11	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
UGOseq_000080586	UGOseq_000080586|species=Daucus_carota|gene=DCAR_015040|protein=DCAR_015040|orthogroup=OG0006937	Daucus_carota	DCAR_015040	DCAR_015040	DCAR_015040 species=Daucus_carota selected_protein=KZM97598 length=384	OG0006937	11	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	1.0	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
UGOseq_000083968	UGOseq_000083968|species=Daucus_carota|gene=DCAR_018422|protein=DCAR_018422|orthogroup=OG0004958	Daucus_carota	DCAR_018422	DCAR_018422	DCAR_018422 species=Daucus_carota selected_protein=KZM95180 length=687	OG0004958	11	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
UGOseq_000084865	UGOseq_000084865|species=Daucus_carota|gene=DCAR_019319|protein=DCAR_019319|orthogroup=OG0003725	Daucus_carota	DCAR_019319	DCAR_019319	DCAR_019319 species=Daucus_carota selected_protein=KZM96077 length=342	OG0003725	10	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	1.0	0.867	Top validation-ready candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000085036	UGOseq_000085036|species=Daucus_carota|gene=DCAR_019490|protein=DCAR_019490|orthogroup=OG0004958	Daucus_carota	DCAR_019490	DCAR_019490	DCAR_019490 species=Daucus_carota selected_protein=KZM96248 length=819	OG0004958	11	Non-symbiotic hemoglobin / stress-resilience candidate	Stress_resilience	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Stress-resilience module	regrowth or stress-resilience underground-organ system	stress/regrowth expression profiling and survival/regrowth phenotyping
UGOseq_000086970	UGOseq_000086970|species=Daucus_carota|gene=DCAR_021424|protein=DCAR_021424|orthogroup=OG0000863	Daucus_carota	DCAR_021424	DCAR_021424	DCAR_021424 species=Daucus_carota selected_protein=KZM91211 length=353	OG0000863	11	Early nodulin-like meristem/regrowth candidate	Meristem_bud_regrowth	Tier_A_supported_main_text_candidate	1.0	0.95	Top validation-ready candidate	Meristem and regrowth module	rhizome bud, root crown, or regrowth system	bud activation/regrowth-stage expression analysis followed by perturbation
UGOseq_000090509	UGOseq_000090509|species=Daucus_carota|gene=DCAR_024963|protein=DCAR_024963|orthogroup=OG0000767	Daucus_carota	DCAR_024963	DCAR_024963	DCAR_024963 species=Daucus_carota selected_protein=KZM87862 length=607	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000096547	UGOseq_000096547|species=Daucus_carota|gene=DCAR_031001|protein=DCAR_031001|orthogroup=OG0000273	Daucus_carota	DCAR_031001	DCAR_031001	DCAR_031001 species=Daucus_carota selected_protein=KZM83432 length=238	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000098684	UGOseq_000098684|species=Dioscorea_rotundata|gene=LOC120249930|protein=XP_039114574.1|orthogroup=OG0000154	Dioscorea_rotundata	LOC120249930	XP_039114574.1	Dioscorea_rotundata|gene=LOC120249930|protein=XP_039114574.1|len=338|method=protein_to_gene	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000098950	UGOseq_000098950|species=Dioscorea_rotundata|gene=LOC120250226|protein=XP_039114955.1|orthogroup=OG0000273	Dioscorea_rotundata	LOC120250226	XP_039114955.1	Dioscorea_rotundata|gene=LOC120250226|protein=XP_039114955.1|len=264|method=protein_to_gene	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000099498	UGOseq_000099498|species=Dioscorea_rotundata|gene=LOC120251177|protein=XP_039115649.1|orthogroup=OG0006937	Dioscorea_rotundata	LOC120251177	XP_039115649.1	Dioscorea_rotundata|gene=LOC120251177|protein=XP_039115649.1|len=162|method=protein_to_gene	OG0006937	11	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	1.0	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
UGOseq_000099687	UGOseq_000099687|species=Dioscorea_rotundata|gene=LOC120251417|protein=XP_039115873.1|orthogroup=OG0000154	Dioscorea_rotundata	LOC120251417	XP_039115873.1	Dioscorea_rotundata|gene=LOC120251417|protein=XP_039115873.1|len=857|method=protein_to_gene	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000099797	UGOseq_000099797|species=Dioscorea_rotundata|gene=LOC120251545|protein=XP_039116034.1|orthogroup=OG0006937	Dioscorea_rotundata	LOC120251545	XP_039116034.1	Dioscorea_rotundata|gene=LOC120251545|protein=XP_039116034.1|len=442|method=protein_to_gene	OG0006937	11	Carotenoid cleavage dioxygenase / hormone-related regulation	Hormone_regulation	Tier_B_no_new_lotus_ginger_support	1.0	0.89	Top validation-ready candidate	Hormone-related regulation module	storage-root/tuber or hormone-responsive underground-organ system	hormone-response expression analysis and candidate perturbation
UGOseq_000101113	UGOseq_000101113|species=Dioscorea_rotundata|gene=LOC120253765|protein=XP_039117946.1|orthogroup=OG0000154	Dioscorea_rotundata	LOC120253765	XP_039117946.1	Dioscorea_rotundata|gene=LOC120253765|protein=XP_039117946.1|len=406|method=protein_to_gene	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000101251	UGOseq_000101251|species=Dioscorea_rotundata|gene=LOC120254039|protein=XP_039118126.1|orthogroup=OG0000154	Dioscorea_rotundata	LOC120254039	XP_039118126.1	Dioscorea_rotundata|gene=LOC120254039|protein=XP_039118126.1|len=226|method=protein_to_gene	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000102168	UGOseq_000102168|species=Dioscorea_rotundata|gene=LOC120255553|protein=XP_039119299.1|orthogroup=OG0003725	Dioscorea_rotundata	LOC120255553	XP_039119299.1	Dioscorea_rotundata|gene=LOC120255553|protein=XP_039119299.1|len=370|method=protein_to_gene	OG0003725	10	NAC-like transcriptional regulator	Developmental_TF	Tier_B_no_new_lotus_ginger_support	1.0	0.867	Top validation-ready candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000102236	UGOseq_000102236|species=Dioscorea_rotundata|gene=LOC120255675|protein=XP_039119380.1|orthogroup=OG0000154	Dioscorea_rotundata	LOC120255675	XP_039119380.1	Dioscorea_rotundata|gene=LOC120255675|protein=XP_039119380.1|len=160|method=protein_to_gene	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000102344	UGOseq_000102344|species=Dioscorea_rotundata|gene=LOC120255830|protein=XP_039119537.1|orthogroup=OG0000154	Dioscorea_rotundata	LOC120255830	XP_039119537.1	Dioscorea_rotundata|gene=LOC120255830|protein=XP_039119537.1|len=407|method=protein_to_gene	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000103324	UGOseq_000103324|species=Dioscorea_rotundata|gene=LOC120257444|protein=XP_039120846.1|orthogroup=OG0000767	Dioscorea_rotundata	LOC120257444	XP_039120846.1	Dioscorea_rotundata|gene=LOC120257444|protein=XP_039120846.1|len=636|method=protein_to_gene	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000103477	UGOseq_000103477|species=Dioscorea_rotundata|gene=LOC120257830|protein=XP_039121048.1|orthogroup=OG0000154	Dioscorea_rotundata	LOC120257830	XP_039121048.1	Dioscorea_rotundata|gene=LOC120257830|protein=XP_039121048.1|len=317|method=protein_to_gene	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000104659	UGOseq_000104659|species=Dioscorea_rotundata|gene=LOC120259159|protein=XP_039122639.1|orthogroup=OG0000767	Dioscorea_rotundata	LOC120259159	XP_039122639.1	Dioscorea_rotundata|gene=LOC120259159|protein=XP_039122639.1|len=640|method=protein_to_gene	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000106890	UGOseq_000106890|species=Dioscorea_rotundata|gene=LOC120261847|protein=XP_039125785.1|orthogroup=OG0000273	Dioscorea_rotundata	LOC120261847	XP_039125785.1	Dioscorea_rotundata|gene=LOC120261847|protein=XP_039125785.1|len=292|method=protein_to_gene	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000107051	UGOseq_000107051|species=Dioscorea_rotundata|gene=LOC120262030|protein=XP_039126001.1|orthogroup=OG0000273	Dioscorea_rotundata	LOC120262030	XP_039126001.1	Dioscorea_rotundata|gene=LOC120262030|protein=XP_039126001.1|len=339|method=protein_to_gene	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000107169	UGOseq_000107169|species=Dioscorea_rotundata|gene=LOC120262160|protein=XP_039126166.1|orthogroup=OG0000154	Dioscorea_rotundata	LOC120262160	XP_039126166.1	Dioscorea_rotundata|gene=LOC120262160|protein=XP_039126166.1|len=236|method=protein_to_gene	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
UGOseq_000108200	UGOseq_000108200|species=Dioscorea_rotundata|gene=LOC120263643|protein=XP_039127543.1|orthogroup=OG0000767	Dioscorea_rotundata	LOC120263643	XP_039127543.1	Dioscorea_rotundata|gene=LOC120263643|protein=XP_039127543.1|len=139|method=protein_to_gene	OG0000767	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_supported_main_text_candidate	0.678	0.821	Strong validation candidate		developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000109014	UGOseq_000109014|species=Dioscorea_rotundata|gene=LOC120264812|protein=XP_039128595.1|orthogroup=OG0000273	Dioscorea_rotundata	LOC120264812	XP_039128595.1	Dioscorea_rotundata|gene=LOC120264812|protein=XP_039128595.1|len=305|method=protein_to_gene	OG0000273	11	bHLH-like transcriptional regulator	Developmental_TF	Tier_A_plus_core_stable_with_lotus_or_ginger	0.678	0.821	Strong validation candidate	Developmental transcription-factor module	developmental transition system with clear underground-organ initiation stage	stage-specific expression analysis and targeted perturbation of transcription factor homologs
UGOseq_000109307	UGOseq_000109307|species=Dioscorea_rotundata|gene=LOC120265175|protein=XP_039128997.1|orthogroup=OG0000154	Dioscorea_rotundata	LOC120265175	XP_039128997.1	Dioscorea_rotundata|gene=LOC120265175|protein=XP_039128997.1|len=354|method=protein_to_gene	OG0000154	4	XTH / xyloglucan cell-wall remodeling	Cell_wall_remodeling	Tier_A_plus_core_stable_with_lotus_or_ginger	1.0	0.791	Strong validation candidate	Cell-wall remodeling module	rhizome elongation or tuber/storage-organ expansion system	expression profiling across initiation/elongation stages; RNAi/CRISPR or overexpression in a tractable system
